"QTA","FATTURATO","ANNOMESE","ART_COD"
28,22986.35,"2022-08","RMEGT2PRO"
14,11898.6,"2022-09","RMEGT2PRO"
16,13134.65,"2022-10","RMEGT2PRO"
23,19084.73,"2022-11","RMEGT2PRO"
93,75531.57,"2022-12","RMEGT2PRO"
24,16951.66,"2023-01","RMEGT2PRO"
23,17098.04,"2023-02","RMEGT2PRO"
11,7943.21,"2023-03","RMEGT2PRO"
9,6643.11,"2023-04","RMEGT2PRO"
10,6217.14,"2023-05","RMEGT2PRO"
4,3079.7,"2023-07","RMEGT2PRO"
3,2549.7,"2023-08","RMEGT2PRO"
1,579.9,"2023-09","RMEGT2PRO"
15,12748.5,"2022-03","RMEGT2PROG"
16,13298.4,"2022-04","RMEGT2PROG"
15,12544.7,"2022-05","RMEGT2PROG"
5,4082.7,"2022-06","RMEGT2PROG"
8,6799.2,"2022-07","RMEGT2PROG"
11,9223.5,"2022-08","RMEGT2PROG"
7,5949.3,"2022-09","RMEGT2PROG"
7,5749.3,"2022-10","RMEGT2PROG"
12,10198.8,"2022-11","RMEGT2PROG"
26,21121.41,"2022-12","RMEGT2PROG"
15,9685.84,"2023-01","RMEGT2PROG"
5,3765.29,"2023-02","RMEGT2PROG"
2,1323.81,"2023-03","RMEGT2PROG"
2,1303.81,"2023-04","RMEGT2PROG"
4,2923.61,"2023-05","RMEGT2PROG"
5,3449.51,"2023-06","RMEGT2PROG"
2,1699.8,"2023-07","RMEGT2PROG"
2,1699.8,"2023-08","RMEGT2PROG"
1,849.9,"2023-10","RMEGT2PROG"
1,536.91,"2023-12","RMEGT2PROG"
103,76694.9,"2022-09","ROARH99F1"
147,105565.92,"2022-10","ROARH99F1"
130,91298.9,"2022-11","ROARH99F1"
51,36524.82,"2022-12","ROARH99F1"
25,17614.56,"2023-01","ROARH99F1"
14,9499.81,"2023-02","ROARH99F1"
41,30556.5,"2023-03","ROARH99F1"
52,38769.8,"2023-04","ROARH99F1"
67,50037.4,"2023-05","ROARH99F1"
73,49689.76,"2023-06","ROARH99F1"
76,56026.53,"2023-07","ROARH99F1"
50,36188.22,"2023-08","ROARH99F1"
92,66009.64,"2023-09","ROARH99F1"
151,111737.89,"2023-10","ROARH99F1"
334,243889.07,"2023-11","ROARH99F1"
211,155564.69,"2023-12","ROARH99F1"
129,20422.69,"2022-03","SAMA035"
787,124841.01,"2022-04","SAMA035"
286,44446.02,"2022-05","SAMA035"
48,7386.14,"2022-06","SAMA035"
876,139250.99,"2022-07","SAMA035"
1948,310643.85,"2022-08","SAMA035"
123,19597.89,"2022-09","SAMA035"
5,716.61,"2022-10","SAMA035"
5,799.5,"2022-11","SAMA035"
4,639.6,"2022-12","SAMA035"
7,911.61,"2023-01","SAMA035"
2,319.8,"2023-03","SAMA035"
2,319.8,"2023-04","SAMA035"
23,3677.7,"2022-03","SAMA035B"
50,7915.2,"2022-04","SAMA035B"
498,77694.45,"2022-05","SAMA035B"
56,8767,"2022-06","SAMA035B"
19,2950.35,"2022-07","SAMA035B"
750,119535.74,"2022-08","SAMA035B"
37,5789.69,"2022-09","SAMA035B"
5,799.5,"2022-10","SAMA035B"
1,129.9,"2023-01","SAMA035B"
1,159.9,"2023-02","SAMA035B"
1,117.91,"2023-04","SAMA035B"
1,159.9,"2023-09","SAMA035B"
72,11500,"2022-03","SAMA035R"
50,7926.16,"2022-04","SAMA035R"
84,13112.47,"2022-05","SAMA035R"
13,2057.8,"2022-06","SAMA035R"
3,449.79,"2022-07","SAMA035R"
1024,162969.74,"2022-08","SAMA035R"
136,21691.6,"2022-09","SAMA035R"
5,727.6,"2022-10","SAMA035R"
3,437.71,"2022-11","SAMA035R"
1,159.9,"2022-12","SAMA035R"
1,120,"2023-01","SAMA035R"
1,159.9,"2023-06","SAMA035R"
1,159.9,"2023-08","SAMA035R"
27,24164.52,"2022-03","XIA12"
42,37453.9,"2022-04","XIA12"
41,36136.75,"2022-05","XIA12"
16,13898.6,"2022-06","XIA12"
43,37862,"2022-07","XIA12"
81,70665.2,"2022-08","XIA12"
27,23893.62,"2022-09","XIA12"
114,101855.82,"2022-10","XIA12"
137,122244.86,"2022-11","XIA12"
58,52194.2,"2022-12","XIA12"
30,26570.6,"2023-01","XIA12"
55,49494.5,"2023-02","XIA12"
18,15844.21,"2023-03","XIA12"
7,5773.4,"2023-04","XIA12"
12,10798.8,"2023-05","XIA12"
1,899.9,"2023-06","XIA12"
4,3599.6,"2023-07","XIA12"
3,2699.7,"2023-08","XIA12"
1,899.9,"2023-09","XIA12"
1,429.9,"2023-10","XIA12"
1,899.9,"2023-11","XIA12"
1,899.9,"2023-12","XIA12"
10,8999,"2022-03","XIA12B"
17,15197.4,"2022-04","XIA12B"
18,15673.03,"2022-05","XIA12B"
12,10597.9,"2022-06","XIA12B"
17,14839.11,"2022-07","XIA12B"
61,53639.4,"2022-08","XIA12B"
38,33912.85,"2022-09","XIA12B"
107,94714.72,"2022-10","XIA12B"
108,96675.52,"2022-11","XIA12B"
64,57262.75,"2022-12","XIA12B"
102,90733.9,"2023-01","XIA12B"
595,533490.46,"2023-02","XIA12B"
279,238474.53,"2023-03","XIA12B"
236,210046.48,"2023-04","XIA12B"
209,185387.85,"2023-05","XIA12B"
41,36339.14,"2023-06","XIA12B"
57,47078.4,"2023-07","XIA12B"
73,61682.93,"2023-08","XIA12B"
25,18297.98,"2023-09","XIA12B"
23,19717.71,"2023-10","XIA12B"
64,54568.93,"2023-11","XIA12B"
35,27802.69,"2023-12","XIA12B"
4,2699.6,"2022-03","XIA12X"
27,18474.87,"2022-04","XIA12X"
63,43202.62,"2022-05","XIA12X"
27,17420.9,"2022-06","XIA12X"
174,120751.22,"2022-07","XIA12X"
175,118143.56,"2022-08","XIA12X"
106,70433.58,"2022-09","XIA12X"
23,15593.21,"2022-10","XIA12X"
40,27359.13,"2022-11","XIA12X"
84,56906.6,"2022-12","XIA12X"
65,40155.83,"2023-01","XIA12X"
41,24893.36,"2023-02","XIA12X"
17,10764.91,"2023-03","XIA12X"
14,8276.24,"2023-04","XIA12X"
18,10171,"2023-05","XIA12X"
2,1199.8,"2023-06","XIA12X"
7,3819.43,"2023-07","XIA12X"
8,4603.49,"2023-08","XIA12X"
3,1704.8,"2023-09","XIA12X"
2,1104.9,"2023-10","XIA12X"
18,11505.31,"2023-11","XIA12X"
10,5438.22,"2023-12","XIA12X"
13,9062.7,"2022-03","XIA12XB"
46,32195.4,"2022-04","XIA12XB"
46,31697.44,"2022-05","XIA12XB"
42,29278.9,"2022-06","XIA12XB"
165,113905.23,"2022-07","XIA12XB"
131,89941.51,"2022-08","XIA12XB"
51,34594.75,"2022-09","XIA12XB"
14,9798.6,"2022-10","XIA12XB"
11,7518.9,"2022-11","XIA12XB"
34,22387.32,"2022-12","XIA12XB"
26,16271.86,"2023-01","XIA12XB"
18,9901.49,"2023-02","XIA12XB"
9,6059.1,"2023-03","XIA12XB"
10,5965.53,"2023-04","XIA12XB"
8,4765.23,"2023-05","XIA12XB"
1,459.91,"2023-06","XIA12XB"
2,1399.8,"2023-07","XIA12XB"
17,10834.51,"2023-08","XIA12XB"
1,404.91,"2023-09","XIA12XB"
4,2209.62,"2023-10","XIA12XB"
5,2704.6,"2023-11","XIA12XB"
6,4199.4,"2023-12","XIA12XB"
8,2020.45,"2022-04","SNGF510L"
21,5439.79,"2022-05","SNGF510L"
43,14062.27,"2022-06","SNGF510L"
22,7602.4,"2022-07","SNGF510L"
66,24010.96,"2022-08","SNGF510L"
50,17354.53,"2022-09","SNGF510L"
37,12931.37,"2022-10","SNGF510L"
29,9884.02,"2022-11","SNGF510L"
12,4191.35,"2022-12","SNGF510L"
24,8056.51,"2023-01","SNGF510L"
25,8038.57,"2023-02","SNGF510L"
23,7090.01,"2023-03","SNGF510L"
16,4977.4,"2023-04","SNGF510L"
16,5205.3,"2023-05","SNGF510L"
20,6352.22,"2023-06","SNGF510L"
52,18613.18,"2023-07","SNGF510L"
45,15836,"2023-08","SNGF510L"
10,3325.5,"2023-09","SNGF510L"
5,1282.91,"2023-10","SNGF510L"
14,4654.14,"2023-11","SNGF510L"
7,2355.07,"2023-12","SNGF510L"
3,1019.71,"2022-05","SNGF612L"
45,15361.45,"2022-06","SNGF612L"
45,16387.96,"2022-07","SNGF612L"
18,6603.31,"2022-08","SNGF612L"
19,7218.1,"2022-09","SNGF612L"
23,8606.79,"2022-10","SNGF612L"
13,4704.31,"2022-11","SNGF612L"
10,3162.01,"2022-12","SNGF612L"
22,7206.84,"2023-01","SNGF612L"
27,8608.42,"2023-02","SNGF612L"
43,13022.46,"2023-03","SNGF612L"
31,9703.5,"2023-04","SNGF612L"
11,3526.14,"2023-05","SNGF612L"
29,10120.8,"2023-06","SNGF612L"
42,15023.43,"2023-07","SNGF612L"
41,14989.49,"2023-08","SNGF612L"
8,2788.7,"2023-09","SNGF612L"
16,5772.4,"2023-10","SNGF612L"
20,6844.74,"2023-11","SNGF612L"
18,5844.86,"2023-12","SNGF612L"
11,3238.9,"2022-05","SNGSG610"
28,8773.78,"2022-06","SNGSG610"
15,4318.78,"2022-07","SNGSG610"
9,2787.38,"2022-08","SNGSG610"
8,2528.31,"2022-09","SNGSG610"
8,2441.41,"2022-10","SNGSG610"
4,1129.66,"2022-11","SNGSG610"
7,1785.3,"2022-12","SNGSG610"
14,3608.47,"2023-01","SNGSG610"
6,1808.65,"2023-02","SNGSG610"
19,5300.79,"2023-03","SNGSG610"
8,2267.21,"2023-04","SNGSG610"
3,893.82,"2023-05","SNGSG610"
1,349.9,"2023-06","SNGSG610"
7,2053.7,"2023-07","SNGSG610"
18,5789.52,"2023-08","SNGSG610"
12,3277.7,"2023-09","SNGSG610"
8,2526.5,"2023-10","SNGSG610"
17,4839.2,"2023-11","SNGSG610"
12,3616.3,"2023-12","SNGSG610"
2,799.8,"2022-05","SNGF712L"
1,399.9,"2022-06","SNGF712L"
4,1099.79,"2022-07","SNGF712L"
10,3395.34,"2022-08","SNGF712L"
2,708.9,"2022-09","SNGF712L"
5,1566.88,"2022-10","SNGF712L"
3,777,"2022-11","SNGF712L"
2,679.8,"2022-12","SNGF712L"
3,993.72,"2023-01","SNGF712L"
10,2940.61,"2023-02","SNGF712L"
10,2897.42,"2023-03","SNGF712L"
9,3068.29,"2023-04","SNGF712L"
5,1632.7,"2023-05","SNGF712L"
11,3555.3,"2023-06","SNGF712L"
12,4111.9,"2023-07","SNGF712L"
9,3319.2,"2023-08","SNGF712L"
2,598.9,"2023-09","SNGF712L"
4,1314.73,"2023-10","SNGF712L"
1,279,"2023-11","SNGF712L"
2,673.81,"2023-12","SNGF712L"
1,1000,"2022-06","AEGL8FEE847S"
7,8183,"2022-07","AEGL8FEE847S"
4,4506.99,"2022-08","AEGL8FEE847S"
22,25388,"2022-09","AEGL8FEE847S"
25,28161.86,"2022-10","AEGL8FEE847S"
39,44733.76,"2022-11","AEGL8FEE847S"
58,67932,"2022-12","AEGL8FEE847S"
84,92326.44,"2023-01","AEGL8FEE847S"
52,50526.35,"2023-02","AEGL8FEE847S"
26,23377.18,"2023-03","AEGL8FEE847S"
22,12816.2,"2023-04","AEGL8FEE847S"
6,3355.73,"2023-05","AEGL8FEE847S"
11,5891.27,"2023-06","AEGL8FEE847S"
5,3497.8,"2023-07","AEGL8FEE847S"
3,1426.82,"2023-08","AEGL8FEE847S"
2,977.92,"2023-09","AEGL8FEE847S"
1,450,"2023-10","AEGL8FEE847S"
1,649.9,"2023-11","AEGL8FEE847S"
15,17818,"2022-03","XIA12PRO12"
28,33072,"2022-04","XIA12PRO12"
56,66649,"2022-05","XIA12PRO12"
27,31828.4,"2022-06","XIA12PRO12"
92,108661.06,"2022-07","XIA12PRO12"
46,54509.05,"2022-08","XIA12PRO12"
30,35970,"2022-09","XIA12PRO12"
14,15969.15,"2022-10","XIA12PRO12"
40,46696.19,"2022-11","XIA12PRO12"
32,37768,"2022-12","XIA12PRO12"
28,30659.93,"2023-01","XIA12PRO12"
26,27475.23,"2023-02","XIA12PRO12"
7,7339.82,"2023-03","XIA12PRO12"
7,7557.31,"2023-04","XIA12PRO12"
6,6197.41,"2023-05","XIA12PRO12"
2,1901.41,"2023-06","XIA12PRO12"
2,1820.51,"2023-07","XIA12PRO12"
4,3789.81,"2023-08","XIA12PRO12"
1,691.91,"2023-09","XIA12PRO12"
1,692,"2023-10","XIA12PRO12"
3,3019.4,"2023-11","XIA12PRO12"
2,1190.91,"2023-12","XIA12PRO12"
3,3598.8,"2022-03","XIA12PRO12B"
10,11890,"2022-04","XIA12PRO12B"
11,13012.1,"2022-05","XIA12PRO12B"
20,22690,"2022-06","XIA12PRO12B"
65,77089.36,"2022-07","XIA12PRO12B"
57,67216.1,"2022-08","XIA12PRO12B"
28,32711.15,"2022-09","XIA12PRO12B"
17,20083.9,"2022-10","XIA12PRO12B"
21,24839,"2022-11","XIA12PRO12B"
19,22241.9,"2022-12","XIA12PRO12B"
20,23803.1,"2023-01","XIA12PRO12B"
15,17808.1,"2023-02","XIA12PRO12B"
7,7374.25,"2023-03","XIA12PRO12B"
3,3178.5,"2023-04","XIA12PRO12B"
2,2398,"2023-05","XIA12PRO12B"
4,4796,"2023-06","XIA12PRO12B"
2,1322.01,"2023-07","XIA12PRO12B"
2,1339,"2023-10","XIA12PRO12B"
2,1740.99,"2023-11","XIA12PRO12B"
2,2398,"2023-12","XIA12PRO12B"
1,1199,"2022-03","XIA12PRO12P"
7,8293,"2022-04","XIA12PRO12P"
8,9592,"2022-05","XIA12PRO12P"
5,5545.05,"2022-06","XIA12PRO12P"
5,5995,"2022-07","XIA12PRO12P"
9,10441,"2022-08","XIA12PRO12P"
11,13189,"2022-09","XIA12PRO12P"
9,10791,"2022-10","XIA12PRO12P"
5,5995,"2022-11","XIA12PRO12P"
6,7194,"2022-12","XIA12PRO12P"
5,5645,"2023-01","XIA12PRO12P"
9,8318.93,"2023-02","XIA12PRO12P"
2,1898,"2023-03","XIA12PRO12P"
1,1199,"2023-06","XIA12PRO12P"
2,2398,"2023-11","XIA12PRO12P"
3,3597,"2023-12","XIA12PRO12P"
2,1898.1,"2022-06","XIA12PROP"
1,249.99,"2022-09","XIAREDMINOTE9S128GW"
53,60297,"2022-04","SAMVS20A95943N"
72,79568,"2022-05","SAMVS20A95943N"
51,57040.48,"2022-06","SAMVS20A95943N"
51,57040.48,"2022-06","SAMVS20A95943N"
73,81973.75,"2022-07","SAMVS20A95943N"
72,81001.42,"2022-08","SAMVS20A95943N"
48,54281.01,"2022-09","SAMVS20A95943N"
69,85386.05,"2022-10","SAMVS20A95943N"
60,67612.62,"2022-11","SAMVS20A95943N"
48,59368.95,"2022-12","SAMVS20A95943N"
43,52874.97,"2023-01","SAMVS20A95943N"
53,64233.62,"2023-02","SAMVS20A95943N"
33,35141,"2023-03","SAMVS20A95943N"
23,26990.49,"2023-04","SAMVS20A95943N"
47,54966.5,"2023-05","SAMVS20A95943N"
41,49568,"2023-06","SAMVS20A95943N"
50,60986.63,"2023-07","SAMVS20A95943N"
27,33172,"2023-08","SAMVS20A95943N"
28,31935.2,"2023-09","SAMVS20A95943N"
26,31060.91,"2023-10","SAMVS20A95943N"
34,41486,"2023-11","SAMVS20A95943N"
39,45862.54,"2023-12","SAMVS20A95943N"
8,1239.3,"2022-03","TIMC25Y64"
1091,173912.85,"2022-04","TIMC25Y64"
1043,165354.06,"2022-05","TIMC25Y64"
2481,395436.5,"2022-06","TIMC25Y64"
581,91589.97,"2022-07","TIMC25Y64"
246,39315.49,"2022-08","TIMC25Y64"
150,23698.69,"2022-09","TIMC25Y64"
95,15197.52,"2022-10","TIMC25Y64"
117,15143.65,"2022-11","TIMC25Y64"
164,19832.23,"2022-12","TIMC25Y64"
106,12270.65,"2023-01","TIMC25Y64"
62,7063.12,"2023-02","TIMC25Y64"
51,5697.11,"2023-03","TIMC25Y64"
33,3454.98,"2023-04","TIMC25Y64"
5,554.96,"2023-05","TIMC25Y64"
9,1079.91,"2023-06","TIMC25Y64"
3,329.98,"2023-07","TIMC25Y64"
6,669.95,"2023-08","TIMC25Y64"
3,359.97,"2023-09","TIMC25Y64"
1,90,"2023-10","TIMC25Y64"
25,3879.6,"2022-03","TIMC25Y64B"
1013,161456.62,"2022-04","TIMC25Y64B"
1038,164469.68,"2022-05","TIMC25Y64B"
2334,371992.2,"2022-06","TIMC25Y64B"
587,92594.23,"2022-07","TIMC25Y64B"
333,52891.39,"2022-08","TIMC25Y64B"
210,33140.16,"2022-09","TIMC25Y64B"
131,20852.92,"2022-10","TIMC25Y64B"
120,16319.04,"2022-11","TIMC25Y64B"
181,22132.76,"2022-12","TIMC25Y64B"
130,14765.61,"2023-01","TIMC25Y64B"
58,6705.94,"2023-02","TIMC25Y64B"
53,5785.68,"2023-03","TIMC25Y64B"
33,3469.31,"2023-04","TIMC25Y64B"
9,951.93,"2023-05","TIMC25Y64B"
5,579.96,"2023-06","TIMC25Y64B"
5,569.96,"2023-07","TIMC25Y64B"
6,719.94,"2023-08","TIMC25Y64B"
2,239.98,"2023-09","TIMC25Y64B"
8,584.84,"2022-05","H3GALCATEL116"
6,479.94,"2022-06","H3GALCATEL116"
3,239.97,"2022-07","H3GALCATEL116"
1,79.99,"2022-08","H3GALCATEL116"
2,159.98,"2022-09","H3GALCATEL116"
1,79.99,"2022-10","H3GALCATEL116"
1,48.5,"2022-12","H3GALCATEL116"
1,45,"2023-04","H3GALCATEL116"
1,59.99,"2023-05","H3GALCATEL116"
1,59.99,"2023-06","H3GALCATEL116"
1,59.99,"2023-10","H3GALCATEL116"
2,799.8,"2022-06","XIABHR5044EU"
1,399.9,"2022-07","XIABHR5044EU"
12,4554.46,"2022-08","XIABHR5044EU"
23,8888.8,"2022-09","XIABHR5044EU"
16,6012.72,"2022-10","XIABHR5044EU"
29,11308.05,"2022-11","XIABHR5044EU"
24,8985.6,"2022-12","XIABHR5044EU"
13,2565.53,"2023-01","XIABHR5044EU"
8,2959.51,"2023-02","XIABHR5044EU"
7,2698.4,"2023-03","XIABHR5044EU"
2,699.8,"2023-04","XIABHR5044EU"
5,1839.1,"2023-05","XIABHR5044EU"
1,399.9,"2023-06","XIABHR5044EU"
6,2399.4,"2023-07","XIABHR5044EU"
12,4423,"2023-08","XIABHR5044EU"
3,1069.7,"2023-09","XIABHR5044EU"
4,1599.6,"2023-10","XIABHR5044EU"
6,2399.4,"2023-11","XIABHR5044EU"
1,499.9,"2022-07","XIABHR5195EU"
1,499.9,"2022-10","XIABHR5195EU"
1,447.41,"2023-04","XIABHR5195EU"
2,999.8,"2023-11","XIABHR5195EU"
1,399.9,"2022-06","XIABHR5204EU"
1,399.9,"2022-07","XIABHR5204EU"
1,399.9,"2022-10","XIABHR5204EU"
1,399.9,"2022-11","XIABHR5204EU"
2,799.8,"2022-12","XIABHR5204EU"
1,399.9,"2023-01","XIABHR5204EU"
1,399.9,"2023-08","XIABHR5204EU"
1,399.9,"2023-12","XIABHR5204EU"
859,803304.25,"2022-03","APLIPHONE13128GR"
741,693250.02,"2022-04","APLIPHONE13128GR"
1011,930548.63,"2022-05","APLIPHONE13128GR"
1131,1053869.69,"2022-06","APLIPHONE13128GR"
876,819237.84,"2022-07","APLIPHONE13128GR"
148,137500,"2022-08","APLIPHONE13128GR"
793,743344.48,"2022-09","APLIPHONE13128GR"
397,362727.35,"2022-10","APLIPHONE13128GR"
343,319490.43,"2022-11","APLIPHONE13128GR"
616,575725.17,"2022-12","APLIPHONE13128GR"
541,503973.35,"2023-01","APLIPHONE13128GR"
165,153208.97,"2023-02","APLIPHONE13128GR"
85,79258.34,"2023-03","APLIPHONE13128GR"
17,15823,"2023-04","APLIPHONE13128GR"
9,8311,"2023-05","APLIPHONE13128GR"
210,195312.9,"2023-06","APLIPHONE13128GR"
214,200316.29,"2023-07","APLIPHONE13128GR"
44,41166,"2023-08","APLIPHONE13128GR"
29,23852.45,"2023-09","APLIPHONE13128GR"
63,47645.01,"2023-10","APLIPHONE13128GR"
11,8185,"2023-11","APLIPHONE13128GR"
5,3332.11,"2023-12","APLIPHONE13128GR"
1,939,"2022-03","APLIPHONE13128GRDEM"
1,899,"2022-10","APLIPHONE13128GRDEM"
6,4682.01,"2022-11","APLIPHONE13128GRDEM"
4,3436,"2022-12","APLIPHONE13128GRDEM"
2,1626.02,"2023-04","APLIPHONE13128GRDEM"
1,939,"2023-05","APLIPHONE13128GRDEM"
1,779,"2023-07","APLIPHONE13128GRDEM"
1,673.01,"2023-08","APLIPHONE13128GRDEM"
1,644,"2023-09","APLIPHONE13128GRDEM"
2,1397.98,"2023-10","APLIPHONE13128GRDEM"
1,644.01,"2023-11","APLIPHONE13128GRDEM"
1,759,"2023-12","APLIPHONE13128GRDEM"
45,47345.02,"2022-03","APLIPHONE13256GR"
166,171430,"2022-04","APLIPHONE13256GR"
324,340922.58,"2022-05","APLIPHONE13256GR"
185,192888.75,"2022-06","APLIPHONE13256GR"
411,430779.41,"2022-07","APLIPHONE13256GR"
86,90626.55,"2022-08","APLIPHONE13256GR"
138,144448.46,"2022-09","APLIPHONE13256GR"
39,40721,"2022-10","APLIPHONE13256GR"
39,40722.25,"2022-11","APLIPHONE13256GR"
3,3177,"2022-12","APLIPHONE13256GR"
1,1059,"2023-01","APLIPHONE13256GR"
2,2118,"2023-02","APLIPHONE13256GR"
1,1059,"2023-04","APLIPHONE13256GR"
1,1059,"2023-05","APLIPHONE13256GR"
1,1059,"2023-08","APLIPHONE13256GR"
2,1778,"2023-09","APLIPHONE13256GR"
1,753.01,"2023-10","APLIPHONE13256GR"
2,1778,"2023-12","APLIPHONE13256GR"
1,1289,"2022-05","APLIPHONE13512GR"
1,1289,"2022-06","APLIPHONE13512GR"
2,2578,"2022-07","APLIPHONE13512GR"
1,1289,"2022-08","APLIPHONE13512GR"
1,1289,"2022-11","APLIPHONE13512GR"
1,999,"2023-04","APLIPHONE13512GR"
53,44343.2,"2022-03","APLIPHONE13MINI128GR"
91,76179,"2022-04","APLIPHONE13MINI128GR"
68,56308.86,"2022-05","APLIPHONE13MINI128GR"
46,38594,"2022-06","APLIPHONE13MINI128GR"
46,38083,"2022-07","APLIPHONE13MINI128GR"
24,20026,"2022-08","APLIPHONE13MINI128GR"
65,54155,"2022-09","APLIPHONE13MINI128GR"
5,4195,"2022-10","APLIPHONE13MINI128GR"
1,839,"2022-12","APLIPHONE13MINI128GR"
8,7352,"2022-04","APLIPHONE13MINI256GR"
12,11508,"2022-05","APLIPHONE13MINI256GR"
3,2877,"2022-06","APLIPHONE13MINI256GR"
1,959,"2022-07","APLIPHONE13MINI256GR"
1,786.07,"2022-11","APLIPHONE13MINI256GR"
1,1189,"2022-07","APLIPHONE13MINI512GR"
1,1189,"2022-08","APLIPHONE13MINI512GR"
1,1189,"2022-09","APLIPHONE13MINI512GR"
1,1032,"2022-10","APLIPHONE13MINI512GR"
1,1031.51,"2022-12","APLIPHONE13MINI512GR"
100,128462,"2022-03","APLIPHONE13PMAX128AG"
263,337831.56,"2022-04","APLIPHONE13PMAX128AG"
262,337488,"2022-05","APLIPHONE13PMAX128AG"
510,656704.64,"2022-06","APLIPHONE13PMAX128AG"
388,498536.64,"2022-07","APLIPHONE13PMAX128AG"
245,315655,"2022-08","APLIPHONE13PMAX128AG"
194,249558.01,"2022-09","APLIPHONE13PMAX128AG"
14,17977,"2022-10","APLIPHONE13PMAX128AG"
2,2578,"2022-11","APLIPHONE13PMAX128AG"
1,1019,"2023-02","APLIPHONE13PMAX128AG"
4,7476,"2022-05","APLIPHONE13PMAX1TBAG"
1,1699,"2023-05","APLIPHONE13PMAX1TBAG"
96,134539.11,"2022-03","APLIPHONE13PMAX256AG"
179,250779.22,"2022-04","APLIPHONE13PMAX256AG"
150,208365.47,"2022-05","APLIPHONE13PMAX256AG"
283,396704.02,"2022-06","APLIPHONE13PMAX256AG"
213,299361.22,"2022-07","APLIPHONE13PMAX256AG"
249,349734.64,"2022-08","APLIPHONE13PMAX256AG"
83,116125.22,"2022-09","APLIPHONE13PMAX256AG"
7,9863,"2022-10","APLIPHONE13PMAX256AG"
2,2728.01,"2022-11","APLIPHONE13PMAX256AG"
1,1199,"2023-03","APLIPHONE13PMAX256AG"
7,11435,"2022-04","APLIPHONE13PMAX512AG"
13,21047,"2022-05","APLIPHONE13PMAX512AG"
6,9824,"2022-06","APLIPHONE13PMAX512AG"
1,1639,"2022-07","APLIPHONE13PMAX512AG"
1,1639,"2022-10","APLIPHONE13PMAX512AG"
109,126745.58,"2022-03","APLIPHONE13PRO128AG"
124,147040,"2022-04","APLIPHONE13PRO128AG"
323,383007.53,"2022-05","APLIPHONE13PRO128AG"
101,119488.14,"2022-06","APLIPHONE13PRO128AG"
211,250119.57,"2022-07","APLIPHONE13PRO128AG"
283,335507,"2022-08","APLIPHONE13PRO128AG"
485,575445.3,"2022-09","APLIPHONE13PRO128AG"
35,41305.25,"2022-10","APLIPHONE13PRO128AG"
6,7044,"2022-11","APLIPHONE13PRO128AG"
1,1189,"2023-01","APLIPHONE13PRO128AG"
3,3517,"2022-04","APLIPHONE13PRO128AGD"
1,1189,"2022-05","APLIPHONE13PRO128AGD"
1,1189,"2022-06","APLIPHONE13PRO128AGD"
1,1189,"2022-07","APLIPHONE13PRO128AGD"
1,1189,"2022-08","APLIPHONE13PRO128AGD"
46,40363,"2022-09","APLIPHONE13PRO128AGD"
34,29743.86,"2022-10","APLIPHONE13PRO128AGD"
13,10497.01,"2022-11","APLIPHONE13PRO128AGD"
11,8319.52,"2022-12","APLIPHONE13PRO128AGD"
3,2297,"2023-01","APLIPHONE13PRO128AGD"
3,2245.01,"2023-02","APLIPHONE13PRO128AGD"
4,2293.01,"2023-03","APLIPHONE13PRO128AGD"
2,1598,"2023-04","APLIPHONE13PRO128AGD"
2,1443.01,"2023-05","APLIPHONE13PRO128AGD"
1,699,"2023-06","APLIPHONE13PRO128AGD"
1,340.98,"2023-07","APLIPHONE13PRO128AGD"
2,1548,"2023-09","APLIPHONE13PRO128AGD"
1,1769,"2022-07","APLIPHONE13PRO1TBAG"
1,1769,"2022-08","APLIPHONE13PRO1TBAG"
1,1769,"2022-10","APLIPHONE13PRO1TBAG"
1,1680,"2022-12","APLIPHONE13PRO1TBAG"
59,76125.76,"2022-03","APLIPHONE13PRO256AG"
110,142753.86,"2022-04","APLIPHONE13PRO256AG"
98,127932.86,"2022-05","APLIPHONE13PRO256AG"
36,47026,"2022-06","APLIPHONE13PRO256AG"
65,84775,"2022-07","APLIPHONE13PRO256AG"
111,144505.86,"2022-08","APLIPHONE13PRO256AG"
97,125883,"2022-09","APLIPHONE13PRO256AG"
34,44496,"2022-10","APLIPHONE13PRO256AG"
18,23552,"2022-11","APLIPHONE13PRO256AG"
2,2618,"2022-12","APLIPHONE13PRO256AG"
2,2618,"2023-01","APLIPHONE13PRO256AG"
1,1539,"2022-04","APLIPHONE13PRO512AG"
4,6156,"2022-05","APLIPHONE13PRO512AG"
2,3078,"2022-06","APLIPHONE13PRO512AG"
2,3078,"2022-07","APLIPHONE13PRO512AG"
3,4617,"2022-08","APLIPHONE13PRO512AG"
1,1539,"2022-10","APLIPHONE13PRO512AG"
1,1539,"2022-12","APLIPHONE13PRO512AG"
1,1399,"2023-02","APLIPHONE13PRO512AG"
2,2630.01,"2023-04","APLIPHONE13PRO512AG"
337,194533.28,"2022-03","APLIPHONESE1285G"
398,228717.99,"2022-04","APLIPHONESE1285G"
365,209721.1,"2022-05","APLIPHONESE1285G"
490,283062.1,"2022-06","APLIPHONESE1285G"
369,210996.57,"2022-07","APLIPHONESE1285G"
170,95671.95,"2022-08","APLIPHONESE1285G"
41,24171,"2022-09","APLIPHONESE1285G"
36,22614,"2022-10","APLIPHONESE1285G"
